Weather City,Country,Date,Latitude,Longitude,Maximum Temperature,Cloudiness,Wind Speed,Humidity
douentza,ML,1587251998,15,-2.95,84.24,91,2.21,21
boca do acre,IT,1587251998,45.68,8.41,57,61,0.25,76
flinders,AU,1587251998,-34.58,150.86,64,49,7,65
akureyri,IS,1587251998,65.68,-18.09,46.4,75,34.45,70
yarada,IN,1587251998,17.65,83.27,80.85,0,11.34,80
kavieng,PG,1587251837,-2.57,150.8,82.99,93,4.9,74
hamilton,US,1587251881,39.18,-84.53,54,1,9.17,40
carnarvon,AU,1587251999,-24.87,113.63,71.6,72,8.05,88
manokwari,ID,1587251999,-0.87,134.08,85.03,96,1.99,65
mataura,NZ,1587251999,-46.19,168.86,53.01,80,10,74
upernavik,GL,1587251999,72.79,-56.15,22.95,99,14.5,90
urumqi,CN,1587251999,43.8,87.6,53.6,63,4.47,58
busselton,AU,1587251999,-33.65,115.33,61,95,22.03,98
shar,KZ,1587251999,49.59,81.05,46.45,1,1.97,58
codrington,AU,1587252000,-38.27,141.97,56.52,53,10.31,72
rikitea,PF,1587252000,-23.12,-134.97,77.41,42,5.93,70
punta arenas,PH,1587252000,8.99,125.34,79.09,96,4.32,80
tuatapere,NZ,1587251838,-46.13,167.68,53.01,47,10,74
sur,OM,1587252000,22.57,59.53,81.27,19,8.14,55
beni suef,CD,1587252000,0.5,29.47,64.44,100,1.99,71
komsomolskiy,UZ,1587252001,40.43,71.72,55.4,4,6.93,58
lagos,NG,1587251730,6.58,3.75,84.2,40,4.7,83
tefe,BR,1587252001,-3.35,-64.71,75.65,92,0.76,95
mahebourg,MU,1587252001,-20.41,57.7,77,40,11.41,83
coihaique,CL,1587252001,-45.58,-72.07,44.6,90,5.82,93
vaini,TO,1587252001,-21.2,-175.2,80.6,40,12.75,74
ponta do sol,PT,1587252001,38.73,-28.27,58.77,100,14.83,84
burns lake,US,1587252001,43.59,-119.05,66.2,1,11.41,14
itoman,JP,1587252002,26.12,127.67,77,75,11.41,83
ushuaia,AR,1587252002,-54.8,-68.3,48.2,40,11.41,61
cabral,DO,1587252002,18.25,-71.22,78.04,13,4.09,67
lorengau,PG,1587252002,-2.02,147.27,84.83,10,2.62,69
georgetown,MY,1587252002,5.41,100.34,80.6,40,3.36,94
sao felix do xingu,IN,1587252002,20.51,76.21,81.41,30,3.51,25
cape town,CL,1587252002,-36.41,-71.9,69.8,20,6.93,68
zakupne,UA,1587252002,49.12,26.34,41,74,4.99,34
haines junction,US,1587252003,59.23,-135.44,55.4,1,8.05,50
port elizabeth,CD,1587252003,-7.03,29.76,73.72,98,3.42,60
litoral del san juan,BR,1587252003,-30.01,-50.16,68.05,0,13.65,81
kapaa,US,1587251833,22.08,-159.32,80.6,1,5.82,65
novaya igirma,RU,1587252003,55.92,38.33,35.6,79,4.47,89
muravlenko,RU,1587252003,63.79,74.52,40.12,100,17.65,88
albany,US,1587252003,42.6,-73.97,46,76,1.01,51
olinda,BR,1587252004,-8.01,-34.86,84.2,40,4.7,74
roald,NO,1587252004,62.58,6.13,41,7,9.17,93
ndioum,SN,1587252004,16.51,-14.65,75.2,29,6.93,53
bredasdorp,ZA,1587252004,-34.53,20.04,50,55,2.24,87
sacalum,MX,1587252004,20.48,-89.58,102.2,20,18.34,24
east london,IS,1587252004,65,-15,46.4,75,12.75,70
iqaluit,CA,1587252004,63.75,-68.51,3.2,20,6.93,71
nabire,ID,1587252069,-3.37,135.48,76.84,100,5.5,89
ancud,CL,1587251867,-41.87,-73.82,55.4,40,8.05,93
tura,IN,1587252070,25.52,90.22,65.77,12,1.36,79
honiara,SB,1587252070,-9.43,159.95,86,40,3.36,74
alpena,US,1587252070,45.06,-83.43,57.2,75,13.87,26
key west,US,1587252070,32.73,-101.8,75,90,16.11,46
hobart,AU,1587252070,-42.88,147.33,51.01,75,8.05,76
ojinaga,MX,1587252070,29.57,-104.42,93.2,1,10.29,9
zelenoborsk,RU,1587252071,61.47,64.03,35.55,93,10.8,91
xichang,CN,1587252071,27.9,102.26,62.85,16,1.14,37
kirando,TZ,1587252071,-7.42,30.6,74.43,94,10.38,60
port alfred,CD,1587252003,-7.03,29.76,73.72,98,3.42,60
barrow,US,1587251849,71.29,-156.79,6.8,1,11.41,71
puerto ayora,ES,1587252071,36.59,-6.23,62.6,42,8.05,82
trinidad,BO,1587252071,-14.83,-64.9,78.8,0,4.7,57
kamenka,RU,1587252071,51.32,42.77,36,0,1.01,83
nemuro,JP,1587252072,43.32,145.57,40.03,100,9.22,79
flin flon,FR,1587252072,48.5,6.66,51.8,36,2.24,93
nikolskoye,RU,1587252072,59.7,30.79,36,90,8.95,92
amberley,US,1587252072,39.2,-84.43,55,1,9.17,40
kirakira,SB,1587251856,-10.45,161.92,85.03,99,1.3,67
port lincoln,CD,1587252072,-7.03,29.76,73.72,98,3.42,60
chokurdakh,RU,1587252072,70.63,147.92,0.03,100,10.31,89
hobyo,SO,1587251873,5.35,48.53,83.7,89,10.13,74
exaplatanos,GR,1587252073,40.98,22.12,57.99,24,1.59,68
yellowknife,CA,1587252073,62.46,-114.35,26.6,90,10.29,86
asifabad,IN,1587252073,19.37,79.28,81.48,0,4.18,39
kabinda,CD,1587252073,-6.13,24.48,69.3,100,5.75,76
alyangula,AU,1587252073,-13.85,136.42,84.2,54,3.36,79
chongwe,ZM,1587252074,-15.33,28.68,62.6,22,3.36,88
uruguaiana,BR,1587252074,-29.75,-57.09,68,0,4.7,68
mandalgovi,MN,1587252074,45.76,106.27,30.34,60,28.92,49
port-de-bouc,FR,1587252074,43.4,4.98,59,97,5.82,87
harper,LR,1587251821,4.38,-7.72,80.13,100,9.17,84
constitucion,CL,1587252074,-35.33,-72.42,59.74,76,10,91
yokadouma,CM,1587252074,3.52,15.05,70.86,98,2.55,83
airai,TL,1587252074,-8.93,125.41,68.59,59,3.67,48
olkhovatka,RU,1587252075,50.28,39.29,37.35,18,4.52,73
lompoc,US,1587252075,34.64,-120.46,59,90,10.29,62
bluff,NZ,1587251973,-46.6,168.33,53.01,100,10,74
fortuna,US,1587252075,40.6,-124.16,57.99,90,4.7,76
mana,GF,1587252075,5.66,-53.78,78.55,80,7.87,87
pochutla,MX,1587252076,15.74,-96.47,87.01,20,17.22,66
hilo,US,1587252000,19.73,-155.09,82.4,20,11.41,58
mys shmidta,RU,1587252076,62.06,48.62,33.58,100,3.02,91
northam,GB,1587252076,51.03,-4.22,52,48,1.01,94
jamestown,US,1587252076,42.1,-79.24,46,1,10.29,41
langham,CA,1587252076,52.37,-106.97,35.6,40,13.87,55
bethel,US,1587252076,41.37,-73.41,41,73,5.86,84
pag,HR,1587252141,44.45,15.06,50,100,2.77,87
acarau,BR,1587251954,-2.89,-40.12,77,40,1.03,85
haicheng,CN,1587252067,40.85,122.75,58.82,100,4.9,39
nokaneng,BW,1587252142,-19.67,22.27,71.98,61,3.71,40
ishinomaki,JP,1587252142,38.42,141.3,50,75,23.04,66
qaanaaq,GL,1587252142,77.48,-69.36,21.69,100,19.26,88
grand river south east,US,1587252142,38.88,-109.5,66.2,40,16.11,22
guerrero negro,MX,1587252142,17.67,-100,86.07,37,3.83,25
lebu,CL,1587252142,-37.62,-73.65,54.84,51,2.13,91
atuona,PF,1587252143,-9.8,-139.03,82,95,17.6,75
santa marta,PH,1587252143,17.49,120.43,85.17,90,1.66,61
saint-augustin,CA,1587251872,51.23,-58.65,24.73,33,13.33,92
new norfolk,LR,1587252068,6.65,-10.59,78.8,75,3.15,94
caravelas,BR,1587252143,-17.71,-39.25,76.51,93,17.25,78
chuy,UY,1587252143,-33.7,-53.46,64.35,10,9.82,86
tiksi,RU,1587252143,71.69,128.87,10.29,68,3.94,85
ixtapa,MX,1587252144,20.7,-105.2,77,90,13.87,69
tilichiki,RU,1587252144,60.47,166.1,10.78,0,10.83,91
sao joao da barra,IN,1587252002,20.51,76.21,81.41,30,3.51,25
zambezi,ZM,1587252144,-13.54,23.1,64.71,89,4.88,64
katsuura,JP,1587252144,35.13,140.3,66,5,3,53
santa isabel do rio negro,PH,1587252144,17.49,120.43,85.17,90,1.66,61
axim,GH,1587252144,4.87,-2.24,80.76,30,7.87,85
tuktoyaktuk,CA,1587252145,69.45,-133.04,10.4,75,9.17,78
nacala,MZ,1587252145,-14.54,40.67,76.3,5,10.27,88
usinsk,RU,1587252145,65.99,57.53,29.62,99,3.74,98
bambous virieux,MU,1587252145,-20.26,57.41,77,40,11.41,83
port-gentil,GA,1587252145,-0.72,8.78,81.61,66,10.07,85
ngama,TD,1587252145,11.78,17.17,82.08,70,9.26,11
alofi,NU,1587252145,-19.06,-169.92,84.2,51,17.22,74
kyren,RU,1587252146,51.68,102.14,30.38,91,8.23,66
tastur,TN,1587252146,36.55,9.44,69.8,97,1.81,88
lensk,RU,1587252146,60.73,114.93,17.04,94,6.71,89
klaksvik,FO,1587252146,62.23,-6.59,41,0,11.41,80
tasiilaq,GL,1587252146,65.61,-37.64,32,99,13.87,95
narsaq,GL,1587252146,60.92,-46.05,30.2,93,1.12,50
severo-kurilsk,RU,1587252147,50.68,156.12,34.54,22,13.94,89
concordia sagittaria,AR,1587252147,-31.39,-58.02,72,0,1.99,59
cidreira,BR,1587251878,-30.18,-50.21,67.82,0,12.93,81
torbay,CA,1587252147,47.67,-52.73,34,20,13.87,91
mgandu,TZ,1587252147,-5.95,34.13,60.64,99,6.42,64
grenville,GD,1587252147,12.12,-61.62,80.6,20,9.17,78
ati,TD,1587252147,13.22,18.34,81.28,1,11.43,13
serenje,ZM,1587252148,-13.23,30.24,60.78,22,8.1,63
portobelo,PA,1587252148,9.55,-79.65,89.01,60,3,58
abu dhabi,IN,1587252148,24.6,72.7,63.82,69,1.99,41
husavik,IS,1587252148,66.04,-17.34,46.4,75,34.45,70
sokoto,NG,1587252148,13.06,5.24,83.77,4,6.38,11
palmer,US,1587252148,42.16,-72.33,42.01,90,4.7,75
geraldton,AU,1587252213,-28.77,114.6,68,40,4.7,88
kerepehi,NZ,1587252214,-37.3,175.53,71.01,71,13,66
khatanga,RU,1587252214,71.97,102.5,14.76,0,4.16,94
tahta,EG,1587251916,26.77,31.5,69.8,0,5.82,40
kondinskoye,RU,1587252214,59.65,67.41,36.95,33,10.76,82
norman wells,US,1587252202,35.22,-97.44,66.2,1,18.34,37
dikson,RU,1587252214,73.51,80.55,35.65,100,20.71,87
beringovskiy,RU,1587252214,63.05,179.32,21.25,100,16.64,97
czluchow,PL,1587252215,53.67,17.36,37,0,6.24,57
havre-saint-pierre,CA,1587252215,50.23,-63.6,32,1,10.29,93
dunedin,NZ,1587252215,-45.87,170.5,59,72,5.01,45
taltal,CL,1587251948,-25.4,-70.48,63.88,27,4.94,72
padang,ID,1587252215,-0.95,100.35,78.55,85,4.23,78
seydi,TM,1587252215,39.48,62.91,67.73,71,8.75,25
primorsk,UA,1587252215,46.73,36.34,47.91,69,7.4,53
araouane,ML,1587252215,18.9,-3.53,88.74,79,3.74,11
pevek,RU,1587252215,69.7,170.31,3.22,30,7.29,91
mayumba,GA,1587251943,-3.43,10.66,79.57,89,3.31,83
petropavlovsk-kamchatskiy,RU,1587252216,53.05,158.65,42.8,5,13.42,48
awbari,LY,1587252216,26.59,12.78,77.16,2,14.07,22
fort saint john,NL,1587252216,52.65,6.39,52,80,3,61
kudahuvadhoo,MV,1587252216,2.67,72.89,83.86,79,12.75,79
tautira,PF,1587252216,-17.73,-149.15,87.8,54,8.05,70
batticaloa,LK,1587252217,7.71,81.69,80.17,53,4.72,82
altay,CN,1587252217,47.87,88.12,46.08,89,4.18,36
wadi maliz,IN,1587252217,17.07,76.98,82.04,37,4.65,31
hirara,JP,1587252217,24.8,125.28,77,75,13.87,88
makakilo city,US,1587252019,21.35,-158.09,82.4,1,10.29,54
esperance,AU,1587252217,-33.87,121.9,59,100,14.99,93
bubaque,GW,1587252218,11.28,-15.83,80.8,94,18.34,61
deputatskiy,RU,1587252218,69.3,139.9,-0.53,76,2.59,75
port hedland,CD,1587252218,-7.03,29.76,73.72,98,3.42,60
hailun,CN,1587252218,47.45,126.93,61,100,22.03,29
ketchikan,US,1587252218,55.34,-131.65,57.2,1,16.11,58
pangkalanbuun,ID,1587252218,-2.68,111.62,78.62,89,3.15,90
kimbe,PG,1587252218,-5.55,150.14,89.06,46,1.72,59
muyezerskiy,RU,1587252218,63.93,31.65,31.66,100,9.15,91
tual,ID,1587252219,-5.67,132.75,84.04,98,8.05,75
gelemso,ET,1587252219,8.82,40.52,59.05,100,7.14,61
dina,CA,1587252219,52.93,-110.08,37.4,40,12.75,59
erenhot,CN,1587252219,43.65,111.98,44.96,76,7.65,60
mahon,ES,1587252219,39.89,4.27,62.6,100,2.24,93
bose,IT,1587252219,45.46,8.01,57.99,84,1.23,63
krasnoselkup,RU,1587252219,65.7,82.47,37.78,100,24.94,83
lavrentiya,RU,1587252220,65.58,-171,20.88,100,9.64,95
hambantota,LK,1587252220,6.12,81.12,80.44,24,5.95,83
kavaratti,IN,1587252220,10.57,72.64,83.97,3,6.67,73
terrace,CA,1587252220,54.52,-128.6,66.99,20,8.05,34
viedma,AR,1587252220,-40.81,-63,77.49,99,19.71,31
rodionovo-nesvetayskaya,RU,1587252285,47.61,39.71,39.2,97,2.24,48
saint-philippe,RE,1587252286,-21.36,55.77,77,40,12.75,78
saldanha,ZA,1587252286,-33.01,17.94,64.4,96,8.05,55
owando,CG,1587252286,-0.48,15.9,73.02,87,2.8,87
burgeo,CA,1587252286,47.62,-57.62,29.35,22,3,90
hyeres,FR,1587252286,43.12,6.12,57.99,99,1.12,93
talnakh,RU,1587252286,69.49,88.4,35.6,100,33.55,80
sabang,ID,1587252287,5.89,95.32,82.45,83,3.36,72
sitka,US,1587252170,57.05,-135.33,51.8,40,5.82,81
kieta,PG,1587252287,-6.22,155.63,85.6,65,0.92,64
bengkulu,ID,1587252287,-3.8,102.27,77.59,87,3.89,83
tagusao,PH,1587252287,9.19,117.81,84.36,23,4.94,66
puerto del rosario,ES,1587252071,36.59,-6.23,62.6,42,8.05,82
butaritari,KI,1587252287,3.07,172.79,83.34,88,17.34,77
castro,BR,1587252287,-24.79,-50.01,56.71,47,6.08,69
haveli,PK,1587252287,30.45,73.7,71.73,5,5.53,54
bara,NG,1587252288,10.37,10.73,83.55,86,4.07,12
severodvinsk,RU,1587252288,64.56,39.83,35.6,40,4.47,98
acapulco,MX,1587252057,16.86,-99.89,84.2,5,9.17,70
provideniya,RU,1587252288,64.38,-173.3,23.2,100,13.89,96
rosa zarate,IT,1587252288,45.93,12.87,54,39,1.83,64
suoyarvi,RU,1587252288,62.08,32.35,32.02,94,7.02,92
nador,MA,1587252288,35.17,-2.93,62.6,40,3.36,93
saurimo,AO,1587252289,-9.66,20.39,64.6,99,2.13,70
coquimbo,CL,1587252289,-29.95,-71.34,59,90,9.17,93
santa rosa,PH,1587252143,17.49,120.43,85.17,90,1.66,61
port blair,CD,1587252218,-7.03,29.76,73.72,98,3.42,60
realeza,BR,1587252289,-25.77,-53.53,60.66,0,1.99,68
hermanus,ZA,1587252289,-34.42,19.23,63,78,1.99,64
coron,PH,1587252290,12,120.2,84.58,5,17.65,74
sinnamary,GF,1587252290,5.38,-52.95,80.01,67,10.65,84
saint-pierre,RE,1587252290,-21.34,55.48,77,40,12.75,78
kaitangata,NZ,1587252290,-46.28,169.85,55.99,82,7,58
cayenne,GF,1587252206,4.93,-52.33,80.6,90,5.82,83
vostok,RU,1587252290,46.49,135.88,51.31,21,4.83,41
shizukuishi,JP,1587252290,39.68,140.98,55.4,40,23.04,66
moron,AR,1587252090,-34.65,-58.62,68,0,9.95,73
touros,BR,1587252290,-5.2,-35.46,80.6,75,2.24,88
saeby,DK,1587252291,57.33,10.52,33.01,0,7.96,80
arraial do cabo,BR,1587252291,-22.84,-46.65,66.2,55,17.22,72
wexford,IE,1587252242,52.33,-6.46,48,85,5.01,96
kismayo,SO,1587252291,-0.36,42.55,83.16,100,7.11,77
manggar,ID,1587252291,-2.88,108.27,81.86,98,1.66,78
ust-omchug,RU,1587252291,61.15,149.63,-1.53,100,11.63,77
aswan,EG,1587252043,24.09,32.91,73.4,3,12.75,23
kodiak,US,1587252229,57.79,-152.41,46.4,20,13.87,75
ganzhou,CN,1587252292,28.82,115.43,61.81,99,3.94,87
rayagada,IN,1587252292,19.17,83.42,76.64,0,1.28,69
hithadhoo,MV,1587252292,-0.6,73.08,83.93,79,11.03,73
nichinan,JP,1587252292,31.6,131.37,59,61,3.36,72
tecpan,GT,1587252357,14.76,-90.99,77,5,11.41,65
orje,NO,1587252357,59.48,11.66,39.2,0,6.93,60
vila velha,PT,1587252357,42.03,-8.16,50,90,2.24,93
jiangyou,CN,1587252357,31.77,104.72,62.06,26,0.78,60
myanaung,MM,1587252358,18.28,95.32,74.01,0,2.57,57
kruisfontein,ZA,1587252358,-34,24.73,65.39,0,6.62,36
mizur,RU,1587252358,42.85,44.05,39.2,96,8.95,86
san quintin,ML,1587252358,13.3,-4.9,94.12,99,8.41,21
bindi,SL,1587252358,9.92,-11.45,76.84,99,8.08,69
puerto colombia,ES,1587252071,36.59,-6.23,62.6,42,8.05,82
birao,CF,1587252358,10.28,22.79,76.93,90,1.74,14
manavalakurichi,IN,1587252359,8.13,77.3,82.4,40,5.82,83
karratha,AU,1587252359,-20.74,116.85,84.7,89,7.85,49
buraydah,SA,1587252099,26.33,43.98,64.4,93,13.87,93
kahului,US,1587252066,20.89,-156.47,84.2,20,16.11,51
grand-lahou,CI,1587252359,5.14,-5.02,81.39,82,11.7,84
tamiahua,MX,1587252359,21.27,-97.45,81.68,50,8.79,85
cherskiy,RU,1587252359,68.75,161.3,7.32,22,8.97,88
saint-georges,GD,1587252359,12.06,-61.75,80.6,20,9.17,78
esmeralda,CU,1587252360,21.85,-78.12,79.92,10,5.77,67
avera,US,1587252360,33.19,-82.53,75.2,1,10.29,29
colorado,BR,1587252360,-22.84,-51.97,63.41,0,5.64,73
salina,US,1587252087,38.84,-97.61,66.2,1,17.22,29
perth,AU,1587252334,-31.93,115.83,69.01,75,20.8,72
muroto,JP,1587252360,33.28,134.15,60.8,75,16.11,51
hillsborough,US,1587252202,37.57,-122.38,66,40,14.99,55
cayeli,TR,1587252360,41.09,40.73,54.14,82,2.33,68
inhambane,MZ,1587252361,-23.86,35.38,74.21,35,13.18,78
